frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,131.1,,,,,,,,,,,,,,,,,,,69,1043,998,64.77004657198948,61.975557506083895,,,,
1,131.1,,,,,,,,,,,,,,,,,,,71,1045,991,64.89424608602972,61.540859206943026,,,,
2,253.8,,,,,,,,,,,,,,,,,,,77,1063,850,,,,,,
3,275.7,,,,,,,,,,,,,,,,,,,29,1082,965,67.19193709577432,59.9262655244198,,,,
4,305.9,,,,,,,,,,,,,,,,,,,32,1080,962,67.06773758173406,59.73996625335942,,,,
5,321.2,16,984,962,61.106160907802156,59.73996625335942,,,,,16,528,1003,32.78867170662554,62.286056291184515,,,,,,,,,,,,,
6,332.3,16,984,962,61.106160907802156,59.73996625335942,,,,,16,529,1002,32.85077146364567,62.22395653416439,,,,,,,,,,,,,
7,340.7,16,984,962,61.106160907802156,59.73996625335942,,,,,16,529,1002,32.85077146364567,62.22395653416439,,,,,,,,,,,,,
8,348.8,16,984,962,61.106160907802156,59.73996625335942,0.0,0.0,0.0,0.0,16,528,1001,32.78867170662554,62.161856777144266,0.0,-2.8147786744417687,0.0,122.11621147252802,,,,,,,,,
9,357.4,16,984,962,61.106160907802156,59.73996625335942,0.0,0.0,0.0,0.0,16,528,1001,32.78867170662554,62.161856777144266,-1.844278925264231,-2.059358598678933,50.184460551407646,33.046637968540274,,,,,,,,,
10,368.2,16,984,962,61.106160907802156,59.73996625335942,0.0,0.0,0.0,0.0,16,528,1001,32.78867170662554,62.161856777144266,-1.9033439594081762,-1.9033439594079897,25.805747137595812,25.805747137590583,,,,,,,,,
