frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,137.3,,,,,,,,,,,,,,,,,,,56,20,384,,,,,,
1,137.3,,,,,,,,,,,,,,,,,,,48,1062,419,,,,,,
2,252.1,,,,,,,,,,,,,,,,,,,25,1089,436,,,,,,
3,293.1,16,1022,506,63.465951674566874,31.422477052182813,,,,,16,52,495,3.2291873650464553,30.73937972496145,,,,,,,,,,,,,
4,293.1,,,,,,,,,,16,52,495,3.2291873650464553,30.73937972496145,,,,,,,,,,,,,
5,303.8,,,,,,,,,,16,52,495,3.2291873650464553,30.73937972496145,,,,,,,,,,,,,
6,322.9,16,1022,506,63.465951674566874,31.422477052182813,0.0,0.0,0.0,0.0,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.0,0.0,0.0,,,,,,,,,
7,342.3,16,1021,506,63.403851917546746,31.422477052182813,,,,,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.9921989671097737,0.0,40.33329134592577,,,,,,,,,
8,356.2,16,1021,506,63.403851917546746,31.422477052182813,,,,,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.0,0.0,0.0,,,,,,,,,
9,367.9,16,1022,506,63.465951674566874,31.422477052182813,0.0,0.0,0.0,0.0,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.0,0.0,0.0,,,,,,,,,
10,378.4,16,1022,506,63.465951674566874,31.422477052182813,1.0985956865131583,0.0,-34.43873625433095,0.0,16,52,496,3.2291873650464553,30.801479481981573,0.0,1.0985956865130955,0.0,-34.43873625432898,,,,,,,,,
11,410.2,16,1022,506,63.465951674566874,31.422477052182813,0.7572076634332878,0.0,-14.547697664424362,0.0,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.0,0.0,0.0,,,,,,,,,
12,442.4,16,1022,506,63.465951674566874,31.422477052182813,0.0,0.0,0.0,0.0,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.0,0.0,0.0,,,,,,,,,
13,478.3,16,1021,506,63.403851917546746,31.422477052182813,-0.3227753153765815,0.0,5.982860340622453,0.0,16,52,495,3.2291873650464553,30.73937972496145,0.0,-0.322775315376563,0.0,5.9828603406221115,,,,,,,,,
14,514.3,16,1022,506,63.465951674566874,31.422477052182813,0.0,0.0,0.0,0.0,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.0,0.0,0.0,,,,,,,,,
15,550.2,16,1022,506,63.465951674566874,31.422477052182813,-0.2884334893812121,0.0,-5.351270674976102,0.0,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.0,0.0,0.0,,,,,,,,,
16,586.2,16,1021,506,63.403851917546746,31.422477052182813,0.0,0.0,0.0,0.0,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.0,0.0,0.0,,,,,,,,,
17,621.9,16,1022,506,63.465951674566874,31.422477052182813,-0.29470144557587535,0.0,-5.477722036726306,0.0,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.0,0.0,0.0,,,,,,,,,
18,657.9,16,1021,506,63.403851917546746,31.422477052182813,-0.28381413932047944,0.0,5.437052477403822,0.0,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.0,0.0,0.0,,,,,,,,,
19,693.9,16,1021,506,63.403851917546746,31.422477052182813,0.0,0.0,0.0,0.0,16,52,495,3.2291873650464553,30.73937972496145,-0.302472178904619,0.0,-5.6169392554246835,0.0,,,,,,,,,
20,728.0,16,1021,506,63.403851917546746,31.422477052182813,-0.29278514592600413,0.0,5.513844556045273,0.0,16,52,495,3.2291873650464553,30.73937972496145,-0.292234021067582,0.0,-5.50865261201851,0.0,,,,,,,,,
21,762.3,16,1021,506,63.403851917546746,31.422477052182813,0.0,0.0,0.0,0.0,16,52,495,3.2291873650464553,30.73937972496145,0.0,0.0,0.0,0.0,,,,,,,,,
