frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,130.4,,,,,,,,,,,,,,,,,,,67,781,771,,,,,,
1,130.4,,,,,,,,,,,,,,,,,,,32,98,87,,,,,,
21,756.0,,,,,,,,,,18,1068,874,66.32254049749258,54.2751876355885,,,,,,,,,,,,,
22,791.7,,,,,,,,,,18,1018,928,63.217552646486375,57.6285745146752,,,,,,,,,,,,,
23,827.9,,,,,,,,,,19,968,979,60.11256479548017,60.795662122701536,,,,,,,,,,,,,
24,863.6,,,,,,,,,,19,917,1028,56.94547718745384,63.838550216687615,,,,,,,,,,,,,
36,1291.6,,,,,,,,,,19,224,1033,13.910345572507808,64.14904900178824,,,,,,,,,,,,,
37,1327.7,,,,,,,,,,20,161,998,9.998060880239986,61.975557506083895,,,,,,,,,,,,,
38,1364.1,,,,,,,,,,20,96,965,5.961576673931917,59.9262655244198,,,,,,,,,,,,,
39,1398.2,,,,,,,,,,20,31,933,1.9250924676238483,57.93907329977582,,,,,,,,,,,,,
123,4378.2,,,,,,,,,,24,92,523,5.713177645851421,32.47817292152492,,,,,,,,,,,,,
124,4411.6,,,,,,,,,,24,220,483,13.66194654442731,29.99418264071996,,,,,,,,,,,,,
125,4447.7,,,,,,,,,,25,337,436,20.927618115781836,27.075494060774126,,,,,,,,,,,,,
126,4483.7,,,,,,,,,,22,461,395,28.62798798627723,24.529404022949034,209.7982156408703,-76.43488959761315,-140.35598307567145,-20.684522624792276,,,,,,,,,
127,4519.8,,,,,,,,,,23,575,350,35.70736028657138,21.73491495704345,206.2378399568058,-76.11632230523263,46.04339557099389,4.01146815993403,,,,,,,,,
128,4555.6,,,,,,,,,,21,698,308,43.34563040004665,19.126725162198234,209.39739511150614,-77.12093482537098,30.228560627363912,-64.00392514637014,,,,,,,,,
129,4591.8,,,,,,,,,,21,813,260,50.487102457360926,16.145936825232276,,,,,,,,,,,,,
130,4627.8,,,,,,,,,,20,938,218,58.24957208487644,13.537747030387063,,,,,,,,,,,,,
131,4659.8,,,,,,,,,,20,1052,173,65.3289443851706,10.743257964481476,,,,,,,,,,,,,
147,5227.6,,,,,,,,,,17,416,19,25.833498920371643,1.1798953833823587,,,,,,,,,,,,,
148,5263.9,,,,,,,,,,18,353,55,21.92121422810382,3.4154866361068277,,,,,,,,,,,,,
149,5300.0,,,,,,,,,,19,283,91,17.57423123669513,5.6510778888312965,,,,,,,,,,,,,
