frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,129.3,,,,,,,,,,,,,,,,,,,74,524,967,,,,,,
1,129.3,,,,,,,,,,,,,,,,,,,63,1037,1006,,,,,,
2,245.2,,,,,,,,,,,,,,,,,,,16,86,78,,,,,,
53,1890.1,,,,,,,,,,19,284,1022,17.636330993715255,63.465951674566874,,,,,,,,,,,,,
54,1926.3,,,,,,,,,,18,302,977,18.75412662007749,60.67146260866129,,,,,,,,,,,,,
55,1962.3,,,,,,,,,,18,318,931,19.747722732399478,57.81487378573557,,,,,,,,,,,,,
56,1998.1,,,,,,,,,,18,335,885,20.803418601741587,54.95828496280986,30.18805337839088,-79.36616865855852,15.9845947942187,-10.953275611678615,,,,,,,,,
57,2034.3,,,,,,,,,,18,352,841,21.859114471083696,52.225895653924404,29.33382016011845,-78.39050018729368,10.813567607439163,-3.533447443558852,,,,,,,,,
58,2070.2,,,,,,,,,,18,369,796,22.914810340425806,49.43140658801882,29.897390199109307,-78.53291838610909,10.108009330982453,-15.501033917274036,,,,,,,,,
59,2102.2,,,,,,,,,,18,387,751,24.032605966788044,46.63691752211323,29.93099323980022,-77.73941194043049,-20.923310233040276,42.2070069878179,,,,,,,,,
60,2140.2,,,,,,,,,,18,403,707,25.02620207911003,43.90452821322776,29.920538699784586,-77.73390151657685,0.26704692827652965,15.933800053886031,,,,,,,,,
61,2174.3,,,,,,,,,,18,420,663,26.081897948452138,41.172138904342304,29.93688644019577,-76.93551663587304,-9.349195861501787,46.19078896503639,,,,,,,,,
62,2210.0,,,,,,,,,,18,437,620,27.13759381779425,38.50184935247697,29.30923649953181,-75.88106890138464,9.38793471785653,-7.72939958437029,,,,,,,,,
63,2246.0,,,,,,,,,,18,454,576,28.19328968713636,35.76946004359151,29.348372172932997,-74.97775092364894,-11.083049326227192,36.16734537008203,,,,,,,,,
64,2281.9,21,1067,951,66.26044074047246,59.05686892613806,,,,,18,471,534,29.24898555647847,33.16127024874629,27.85346865168653,-73.47455184087362,-29.376041843130977,18.13941168551047,,,,,,,,,
65,2314.2,23,972,850,60.36096382356067,52.784793467105516,,,,,19,487,492,30.242581668800455,30.553080453901078,28.15410362494352,-74.96577389168773,-31.55939104392746,25.297441996979263,,,,,,,,,
66,2354.0,26,873,747,54.21308787856837,46.38851849403273,,,,,19,504,449,31.298277538142568,27.88279090203574,25.349528253092103,-82.01161909700167,-62.9696158560117,-166.42416339513272,,,,,,,,,
67,2390.7,26,772,644,47.94101241953584,39.992243520959946,-156.30095450986013,-146.47985704276212,221.9879416941317,528.4279301818044,19,517,407,32.10557437940418,25.274601107190524,14.043631525076472,-109.1777014491246,-224.4812582783782,-674.4473088960078,,,,,,,,,
68,2422.2,26,673,542,41.793136474543545,33.65806830490728,-142.92627287225588,-121.61697957975696,537.0010080270043,1027.4505088450765,18,533,364,33.09917049172617,22.604311555325186,4.293965820469249,-132.07725134559672,-410.2950127426333,-1082.9173948471457,,,,,,,,,
69,2458.1,19,586,461,36.39045761379275,28.62798798627723,-134.61583304211553,-100.39934495984889,702.9969234657458,1348.913323650641,24,541,297,33.59596854788716,18.44362783497687,,,,,,,,,,,,,
70,2494.5,19,530,445,32.91287122066579,27.63439187395524,-122.68184539835583,-73.87763360719522,425.7790932096111,870.4588412163993,23,521,166,32.35397340748467,10.308559665340606,,,,,,,,,,,,,
71,2530.1,19,475,427,29.497384584558965,26.516596247593007,-107.61761098301596,-46.470304223936694,117.46909186622777,365.44430775956135,22,502,33,31.174078024102318,2.0492919816640964,,,,,,,,,,,,,
72,2566.0,19,418,413,25.957698434411892,25.64719964931127,-99.0927527968346,-28.138720187397045,-44.5524332844502,-9.513420546808135,,,,,,,,,,,,,,,,,,
73,2598.2,18,362,397,22.48011204128494,24.653603536989284,-99.7253282273159,-28.45277008616979,16.969550397716798,5.623386768663662,,,,,,,,,,,,,,,,,,
74,2634.1,19,305,381,18.940425891137863,23.6600074246673,-100.74813899662718,-27.801425040486432,14.636138641249458,-6.427400385517859,,,,,,,,,,,,,,,,,,
75,2670.1,18,248,365,15.400739740990787,22.66641131234531,-100.72107717821471,-27.692198468456823,13.26858349808854,18.092127923181234,,,,,,,,,,,,,,,,,,
76,2706.3,19,190,348,11.798953833823587,21.6107154430032,-100.05190970851882,-27.598874522340957,-23.011760965763468,10.174866031129746,,,,,,,,,,,,,,,,,,
77,2742.2,19,131,332,8.135068169636263,20.617119330681213,,,,,,,,,,,,,,,,,,,,,,
78,2779.4,20,72,318,4.4711825054489385,19.747722732399478,,,,,18,375,27,23.287408882546554,1.6766934395433517,,,,,,,,,,,,,
79,2814.2,18,14,301,0.869396598281738,18.692026863057364,,,,,18,358,93,22.23171301320444,5.775277402871545,,,,,,,,,,,,,
80,2846.5,,,,,,,,,,19,342,160,21.238116900882456,9.935961123219862,,,,,,,,,,,,,
81,2882.5,,,,,,,,,,18,325,226,20.182421031540347,14.034545086548055,-29.311561000513834,115.55380062400197,15.610339768483204,-83.58816601363812,,,,,,,,,
82,2919.3,,,,,,,,,,19,308,291,19.126725162198234,18.071029292856124,-29.475707873563888,114.45697627901875,1.2838940929134999,-48.22079340135766,,,,,,,,,
83,2954.0,,,,,,,,,,19,292,356,18.13312904987625,22.107513499164195,-29.953364383164057,114.43932419618775,-19.902445894460534,22.61546351902244,,,,,,,,,
84,2991.6,,,,,,,,,,19,275,421,17.07743318053414,26.143997705472263,-30.29108192474558,113.87422330274862,-33.56672701379463,52.79848093108418,,,,,,,,,
85,3027.0,,,,,,,,,,19,257,485,15.959637554171904,30.11838215476021,-31.238949370683123,113.8690855126399,-34.02746878407872,37.30360182514896,,,,,,,,,
86,3058.2,,,,,,,,,,19,240,550,14.903941684829794,34.15486636106828,-31.599188356561942,113.95259405964121,-11.687265687072628,-31.9576926274018,,,,,,,,,
87,3094.4,,,,,,,,,,17,222,614,13.786146058467558,38.12925081035622,-32.40128244994656,115.02263278357061,-7.487757912294432,-30.45588402793266,,,,,,,,,
88,3130.5,,,,,,,,,,16,202,678,12.544150918065077,42.103635259644165,-32.3410325782613,114.89650283778265,12.73117491783392,-17.4501269431636,,,,,,,,,
89,3166.1,,,,,,,,,,16,184,745,11.426355291702842,46.26431897999248,-31.9274363744409,112.75127440418815,5.602965077638655,9.690414491107616,,,,,,,,,
90,3202.3,,,,,,,,,,16,165,811,10.246459908320483,50.36290294332068,-31.708903543056877,113.30149577987692,20.321472590509043,-1.4465627504489886,,,,,,,,,
91,3238.4,,,,,,,,,,17,147,876,9.12866428195825,54.399387149628744,,,,,,,,,,,,,
92,3274.1,,,,,,,,,,18,129,942,8.010868655596013,58.49797111295694,,,,,,,,,,,,,
93,3309.8,,,,,,,,,,18,112,1007,6.955172786253904,62.53445531926501,,,,,,,,,,,,,
94,3346.6,16,2,151,0.12419951404024827,9.377063310038745,,,,,,,,,,,,,,,,,,,,,,
95,3378.4,18,27,144,1.6766934395433517,8.942365010897877,,,,,,,,,,,,,,,,,,,,,,
96,3414.1,18,56,137,3.477586393126952,8.507666711757008,,,,,,,,,,,,,,,,,,,,,,
97,3450.0,18,85,131,5.278479346710552,8.135068169636263,50.324560703360476,-11.68460332555466,9.218438479917427,6.324083022520392,,,,,,,,,,,,,,,,,,
98,3486.5,17,113,124,7.017272543274028,7.700369870495393,,,,,,,,,,,,,,,,,,,,,,
99,3526.4,17,142,118,8.818165496857628,7.327771328374649,,,,,,,,,,,,,,,,,,,,,,
100,3553.9,17,170,112,10.556958693421103,6.955172786253904,,,,,,,,,,,,,,,,,,,,,,
