frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,137.9,,,,,,,,,,,,,,,,,,,62,57,1012,,,,,,
1,137.9,,,,,,,,,,,,,,,,,,,73,1004,464,,,,,,
2,254.9,,,,,,,,,,,,,,,,,,,14,444,434,,,,,,
68,2409.0,,,,,,,,,,17,16,725,0.9935961123219862,45.02232383959,,,,,,,,,,,,,
69,2444.9,,,,,,,,,,18,46,664,2.8565888229257106,41.234238661362426,,,,,,,,,,,,,
70,2482.5,,,,,,,,,,19,79,605,4.905880804589807,37.57035299717511,,,,,,,,,,,,,
71,2520.5,,,,,,,,,,20,108,545,6.706773758173407,33.84436757596766,52.88895925158596,-105.69677200167918,29.590992893549366,-97.68687318303354,,,,,,,,,
72,2555.7,23,1015,828,63.031253375426004,51.418598812662786,,,,,20,137,484,8.507666711757008,30.056282397740084,52.80281004879296,-104.75039395023184,32.49642647743197,-69.78902795281465,,,,,,,,,
73,2589.0,25,907,726,56.32447961725259,45.08442359661012,,,,,21,166,425,10.308559665340606,26.392396733552758,51.26663655191077,-104.86571048532761,10.089344182626446,1.720663348975446,,,,,,,,,
74,2621.0,26,802,626,49.80400513013956,38.874447894597715,,,,,20,196,366,12.171552375944332,22.728511069365435,51.78619428531155,-107.0362706819765,-51.53656436169678,71.03018302786276,,,,,,,,,
75,2657.2,26,698,525,43.34563040004665,32.60237243556517,-184.407593573092,-175.79767236104448,187.9690800961957,188.8446955668134,20,226,307,14.034545086548055,19.06462540517811,46.7902636314642,-110.91510277863158,-150.97024750854064,-51.68306718806678,,,,,,,,,
76,2694.5,25,593,426,36.82515591293362,26.454496490572883,-155.16973976009294,-148.40955789698015,562.2364564370387,534.1692680588194,20,254,247,15.773338283111531,15.338639983970662,,,,,,,,,,,,,
77,2728.7,26,487,329,30.242581668800455,20.430820059620842,-127.49159303458127,-122.0870638405064,1005.3337560341613,912.9612345849396,19,281,187,17.450031722654884,11.612654562763215,,,,,,,,,,,,,
78,2764.8,18,396,238,24.59150377996916,14.779742170789545,-101.73867299477918,-96.87773800576092,1348.627956675413,1278.0685824124298,25,293,110,18.195228806896374,6.830973272213655,,,,,,,,,,,,,
79,2800.5,18,379,221,23.53580791062705,13.724046301447435,-78.71678280329677,-74.90362360079655,880.2721653893042,852.7351526238898,,,,,,,,,,,,,,,,,,
80,2832.8,18,361,204,22.418012284264815,12.668350432105324,-53.718476125068705,-52.31263783972881,412.0171932360082,427.56568185650843,,,,,,,,,,,,,,,,,,
81,2868.7,18,343,187,21.30021665790258,11.612654562763215,-31.717048133417094,-29.723079005039263,-0.7622230591988773,14.610127899829962,,,,,,,,,,,,,,,,,,
82,2905.3,18,324,170,20.120321274520222,10.556958693421103,-33.06528551022631,-30.381428464307486,-9.060384987197775,-3.074940095474227,,,,,,,,,,,,,,,,,,
83,2942.7,18,306,153,19.002525648157988,9.501262824078994,-33.25483037783405,-29.643884441761216,-39.61235707159104,-15.031498090035967,,,,,,,,,,,,,,,,,,
84,2978.2,18,287,136,17.82263026477563,8.445566954736883,-33.449530015046925,-29.583881653775663,-30.881281628103906,-12.067710525152219,,,,,,,,,,,,,,,,,,
