frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,134.2,,,,,,,,,,,,,,,,,,,46,1053,920,,,,,,
1,134.2,,,,,,,,,,,,,,,,,,,67,994,395,,,,,,
2,238.5,,,,,,,,,,,,,,,,,,,45,1063,935,,,,,,
3,260.1,16,992,961,61.60295896396315,59.6778664963393,,,,,16,55,984,3.4154866361068277,61.106160907802156,,,,,,,,,,,,,
4,276.0,16,992,961,61.60295896396315,59.6778664963393,,,,,16,55,984,3.4154866361068277,61.106160907802156,,,,,,,,,,,,,
5,299.1,16,992,961,61.60295896396315,59.6778664963393,,,,,17,55,984,3.4154866361068277,61.106160907802156,,,,,,,,,,,,,
6,299.1,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,55,984,3.4154866361068277,61.106160907802156,0.0,0.0,0.0,0.0,,,,,,,,,
7,308.5,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,55,984,3.4154866361068277,61.106160907802156,0.0,0.0,0.0,0.0,,,,,,,,,
8,319.3,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,16,54,984,3.3533868790867034,61.106160907802156,-2.3563291309072523,0.0,71.08081842857472,0.0,,,,,,,,,
9,334.0,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,55,984,3.4154866361068277,61.106160907802156,-0.14020180226818826,0.0,-8.034487235999332,0.0,,,,,,,,,
10,370.0,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,55,984,3.4154866361068277,61.106160907802156,0.0,0.0,0.0,0.0,,,,,,,,,
11,405.8,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,55,984,3.4154866361068277,61.106160907802156,0.39278664822219456,0.0,-7.517447812864966,0.0,,,,,,,,,
12,442.1,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,54,984,3.3533868790867034,61.106160907802156,0.02035942143949861,0.0,11.005092669999089,0.0,,,,,,,,,
13,478.0,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,55,984,3.4154866361068277,61.106160907802156,0.0,0.0,0.0,0.0,,,,,,,,,
14,510.3,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,55,984,3.4154866361068277,61.106160907802156,0.0,0.0,0.0,0.0,,,,,,,,,
15,546.5,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,16,55,984,3.4154866361068277,61.106160907802156,0.30190187664305346,0.0,-5.611559045409915,0.0,,,,,,,,,
16,582.1,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,55,984,3.4154866361068277,61.106160907802156,0.0,0.0,0.0,0.0,,,,,,,,,
17,618.1,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,16,55,984,3.4154866361068277,61.106160907802156,0.0,0.0,0.0,0.0,,,,,,,,,
18,654.1,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,55,984,3.4154866361068277,61.106160907802156,-0.30276697203593456,0.3027669720359194,-5.6276388854262915,5.627638885426009,,,,,,,,,
19,690.2,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,16,55,984,3.4154866361068277,61.106160907802156,0.0,0.0,0.0,0.0,,,,,,,,,
20,726.0,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,55,984,3.4154866361068277,61.106160907802156,0.0,0.0,0.0,0.0,,,,,,,,,
21,758.3,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,54,985,3.3533868790867034,61.16826066482228,-0.021501120592691665,0.02150112059269058,11.026215688559553,-11.026215688559002,,,,,,,,,
22,794.0,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,16,55,984,3.4154866361068277,61.106160907802156,-0.276364803185759,0.0,-5.3249480382612555,0.0,,,,,,,,,
23,830.2,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,55,984,3.4154866361068277,61.106160907802156,0.0,0.0,0.0,0.0,,,,,,,,,
24,866.4,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,16,55,984,3.4154866361068277,61.106160907802156,-0.02207361526893188,-0.2818185375618541,-11.036807634465939,5.414381125107666,,,,,,,,,
25,903.4,16,992,961,61.60295896396315,59.6778664963393,0.0,0.0,0.0,0.0,17,54,984,3.3533868790867034,61.106160907802156,0.03468601943293372,0.0,11.011434740613957,0.0,,,,,,,,,
