frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,127.5,,,,,,,,,,,,,,,,,,,59,1067,158,,,,,,
1,127.5,,,,,,,,,,,,,,,,,,,62,251,233,,,,,,
2,236.4,,,,,,,,,,,,,,,,,,,74,1043,933,,,,,,
3,260.2,16,933,940,57.93907329977582,58.37377159891669,,,,,16,521,975,32.35397340748467,60.54726309462104,,,,,,,,,,,,,
4,281.1,16,933,940,57.93907329977582,58.37377159891669,,,,,16,522,975,32.4160731645048,60.54726309462104,,,,,,,,,,,,,
5,295.2,16,933,940,57.93907329977582,58.37377159891669,,,,,16,521,975,32.35397340748467,60.54726309462104,,,,,,,,,,,,,
6,311.4,16,933,940,57.93907329977582,58.37377159891669,0.0,0.0,0.0,0.0,16,521,975,32.35397340748467,60.54726309462104,0.0,0.0,0.0,0.0,,,,,,,,,
7,322.5,16,933,940,57.93907329977582,58.37377159891669,0.0,0.0,0.0,0.0,16,521,975,32.35397340748467,60.54726309462104,-0.764215019308079,0.0,35.544884618980426,0.0,,,,,,,,,
8,332.5,16,933,940,57.93907329977582,58.37377159891669,-0.3135510745149862,0.0,-16.812390054422846,0.0,16,521,975,32.35397340748467,60.54726309462104,0.0,0.0,0.0,0.0,,,,,,,,,
9,343.0,16,933,940,57.93907329977582,58.37377159891669,0.0,0.0,0.0,0.0,16,521,975,32.35397340748467,60.54726309462104,0.0,0.0,0.0,0.0,,,,,,,,,
10,365.5,16,933,940,57.93907329977582,58.37377159891669,0.0,0.0,0.0,0.0,16,521,975,32.35397340748467,60.54726309462104,0.0,0.0,0.0,0.0,,,,,,,,,
11,401.8,16,932,940,57.8769735427557,58.37377159891669,-0.5460453897873154,0.0,10.102597405870778,0.0,16,521,975,32.35397340748467,60.54726309462104,0.0,0.0,0.0,0.0,,,,,,,,,
12,434.5,16,933,940,57.93907329977582,58.37377159891669,0.0,0.0,0.0,0.0,16,521,975,32.35397340748467,60.54726309462104,0.0,0.0,0.0,0.0,,,,,,,,,
13,469.9,16,933,940,57.93907329977582,58.37377159891669,-0.282626012803439,0.0,-5.414291433016075,0.0,16,521,975,32.35397340748467,60.54726309462104,0.0,0.0,0.0,0.0,,,,,,,,,
14,509.9,16,932,940,57.8769735427557,58.37377159891669,0.0,0.0,0.0,0.0,16,521,975,32.35397340748467,60.54726309462104,0.0,0.0,0.0,0.0,,,,,,,,,
15,541.9,16,933,940,57.93907329977582,58.37377159891669,0.0,0.0,0.0,0.0,16,521,975,32.35397340748467,60.54726309462104,0.0,0.0,0.0,0.0,,,,,,,,,
16,577.9,16,932,940,57.8769735427557,58.37377159891669,-0.28736571211256384,0.0,5.326519223587838,0.0,16,521,975,32.35397340748467,60.54726309462104,0.0,0.0,0.0,0.0,,,,,,,,,
17,613.7,16,932,940,57.8769735427557,58.37377159891669,0.0,0.0,0.0,0.0,16,521,975,32.35397340748467,60.54726309462104,0.0,0.0,0.0,0.0,,,,,,,,,
