frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,128.7,,,,,,,,,,,,,,,,,,,51,23,654,,,,,,
1,128.7,,,,,,,,,,,,,,,,,,,65,375,520,,,,,,
2,243.7,,,,,,,,,,,,,,,,,,,77,1032,407,,,,,,
3,264.6,16,1005,514,62.41025580522476,31.919275108343808,,,,,17,38,494,2.3597907667647173,30.677279967941324,,,,,,,,,,,,,
4,281.8,16,1005,513,62.41025580522476,31.857175351323683,,,,,17,38,494,2.3597907667647173,30.677279967941324,,,,,,,,,,,,,
5,296.0,16,1005,513,62.41025580522476,31.857175351323683,,,,,17,38,494,2.3597907667647173,30.677279967941324,,,,,,,,,,,,,
6,308.1,16,1005,512,62.41025580522476,31.795075594303558,0.0,-0.34903897262449923,0.0,115.22401239908443,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.9438642314379546,0.0,43.39605661783699,,,,,,,,,
7,321.3,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
8,334.7,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
9,344.1,16,1005,513,62.41025580522476,31.857175351323683,0.0,1.2494974081384629,0.0,-26.41643569003094,17,38,495,2.3597907667647173,30.73937972496145,0.0,1.0685476160968133,0.0,-36.46920191456704,,,,,,,,,
10,366.7,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
11,402.5,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
12,438.7,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,-0.34360051093512983,0.0,6.614061808183441,,,,,,,,,
13,474.4,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
14,510.6,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
15,542.6,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
16,578.5,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
17,614.4,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
18,650.1,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
19,686.4,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
20,722.5,16,1005,513,62.41025580522476,31.857175351323683,0.0,0.0,0.0,0.0,17,38,494,2.3597907667647173,30.677279967941324,0.0,0.0,0.0,0.0,,,,,,,,,
