frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,132.0,,,,,,,,,,,,,,,,,,,53,528,1013,,,,,,
1,132.0,,,,,,,,,,,,,,,,,,,57,52,256,,,,,,
2,258.3,,,,,,,,,,,,,,,,,,,70,1043,399,,,,,,
3,279.8,16,1020,507,63.341752160526624,31.484576809202938,,,,,13,14,554,0.869396598281738,34.40326538914877,,,,,,,,,,,,,
4,298.7,16,1018,507,63.217552646486375,31.484576809202938,,,,,13,21,548,1.304094897422607,34.03066684702803,,,,,,,,,,,,,
5,318.1,16,1020,508,63.341752160526624,31.546676566223063,,,,,14,27,543,1.6766934395433517,33.72016806192741,,,,,,,,,,,,,
6,327.9,15,1017,506,63.15545288946625,31.422477052182813,-0.4674894632586895,-0.5262799067434766,141.60816030155036,31.79939013555747,14,30,539,1.8629927106037243,33.47176903384691,5.086427736980456,-16.785000656925583,-647.4202118535342,107.3109328743741,,,,,,,,,
7,340.6,16,1020,507,63.341752160526624,31.484576809202938,1.2487259781338107,0.0,-81.88367069729905,0.0,14,29,535,1.8008929535836,33.22337000576641,9.708208539187131,-12.830023484521579,-102.55594166022267,307.2651184034753,,,,,,,,,
8,350.4,11,1012,508,62.84495410436563,31.546676566223063,-5.424871903828464,-0.48901261202454155,616.4627163441409,-30.279418701210044,14,28,532,1.738793196563476,33.03707073470604,7.035272944297534,-14.305375436107626,316.57460357270986,423.72437315625217,,,,,,,,,
9,361.0,16,1018,506,63.217552646486375,31.422477052182813,1.8410989969061482,-0.2827756640325671,-2.1164104426478723,-17.08614284184694,14,27,531,1.6766934395433517,32.97497097768592,0.6977676179985975,-11.052708342824888,382.2443738485882,239.05114048518413,,,,,,,,,
10,371.1,16,1020,507,63.341752160526624,31.484576809202938,0.0,-0.4670398107011774,0.0,-30.625561357454256,15,33,531,2.0492919816640964,32.97497097768592,7.738952166905091,-6.6491926086022275,-26.575623735321027,98.0352669027118,,,,,,,,,
11,400.3,16,1020,507,63.341752160526624,31.484576809202938,6.7045766898937424,-1.4293245619484405,-130.3124721067783,-7.408435003154605,15,40,529,2.4839902808049654,32.85077146364567,10.845201669122822,-2.711300417280695,-163.87204947149607,40.96801236787304,,,,,,,,,
12,431.3,16,1020,505,63.341752160526624,31.360377295162692,1.0689570909692696,-0.7622029212743432,-19.850642357832307,3.4466760639870264,15,43,528,2.6702895518653382,32.78867170662554,8.551656727754082,-2.0588843880333867,-158.80513886265703,16.818673306892656,,,,,,,,,
13,467.2,16,1020,504,63.341752160526624,31.298277538142568,0.0,-1.2964230995682762,0.0,13.364722879470925,15,43,528,2.6702895518653382,32.78867170662554,3.144890100930525,-1.8394324369361919,-69.03440885520062,2.0638001454887807,,,,,,,,,
14,503.2,16,1020,504,63.341752160526624,31.298277538142568,0.0,-1.207630307130164,0.0,11.71736123868962,15,44,528,2.732389308885462,32.78867170662554,0.6723942650370854,-0.871433174611622,-33.850154689548404,-5.207716106083464,,,,,,,,,
15,539.0,16,1020,504,63.341752160526624,31.298277538142568,0.0,-0.5765994152286417,0.0,2.777238272846526e-15,15,43,526,2.6702895518653382,32.6644721925853,-0.5765994152286372,-0.576599415228609,-10.70751003210097,10.70751003210044,,,,,,,,,
16,575.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,-0.28286455043408165,0.0,5.439702892963108,15,42,525,2.608189794845214,32.60237243556517,-1.194603737453226,-0.8485936513022287,-11.475680910731668,16.319108678889013,,,,,,,,,
17,611.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,-0.2834172365527069,0.0,5.429448976105498,15,42,526,2.608189794845214,32.6644721925853,-2.0777242681122394,-0.5668344731053814,-17.17245260450214,10.858897952210373,,,,,,,,,
18,646.7,16,1020,503,63.341752160526624,31.236177781122443,0.0,-0.28408996153045624,0.0,5.431930430792666,15,41,526,2.5460900378250897,32.6644721925853,-2.676429226531846,0.0,-28.286544031096952,0.0,,,,,,,,,
19,679.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,39,525,2.4218905237848416,32.60237243556517,-2.5991838133350647,0.2808955049364083,-15.535474394688306,5.401836633392468,,,,,,,,,
20,715.4,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,37,526,2.297691009744593,32.6644721925853,-2.3586662467881103,0.2814455932367013,11.790422361669357,5.391678031354433,,,,,,,,,
21,751.3,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,34,526,2.1113917386842207,32.6644721925853,-2.1130603142225524,0.2821127413165828,39.05841615938173,5.394125072974819,,,,,,,,,
22,787.3,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,33,526,2.0492919816640964,32.6644721925853,-1.4251342731475323,0.5752761707781795,37.216906346443295,0.03455608760054085,,,,,,,,,
23,823.7,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,34,527,2.1113917386842207,32.72657194960542,-0.8577182506242126,-0.0031944565940650008,15.927915517626985,-10.648188646881048,,,,,,,,,
24,859.5,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,34,527,2.1113917386842207,32.72657194960542,0.28498897908589177,0.0026399949759177673,5.267818467391713,-10.55997990367103,,,,,,,,,
25,894.9,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,34,527,2.1113917386842207,32.72657194960542,0.5689233158204909,0.016668167170861923,-0.15263889350606888,-10.417604481788599,,,,,,,,,
26,931.4,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,34,526,2.1113917386842207,32.6644721925853,0.2977704132217987,-0.28518807304127364,5.529626986477231,5.411538387879956,,,,,,,,,
27,968.2,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,35,526,2.173491495704345,32.6644721925853,0.2801568114284613,-0.28015681142844734,-5.3567267959552884,5.35672679595502,,,,,,,,,
28,1005.7,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,35,526,2.173491495704345,32.6644721925853,0.26795766742207183,-0.2679576674220584,-5.2799540378733365,5.279954037873073,,,,,,,,,
29,1036.8,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,35,526,2.173491495704345,32.6644721925853,0.29556588297357317,0.0,-5.571458679991947,0.0,,,,,,,,,
30,1072.8,16,1020,503,63.341752160526624,31.236177781122443,-0.2901525970612093,0.0,-5.547850804229627,0.0,15,35,526,2.173491495704345,32.6644721925853,0.0,0.0,0.0,0.0,,,,,,,,,
31,1107.2,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,35,526,2.173491495704345,32.6644721925853,-0.29492444963235137,0.0,-5.811319204578353,0.0,,,,,,,,,
32,1142.9,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,35,526,2.173491495704345,32.6644721925853,-0.28574309167042644,0.0,-5.386297675220096,0.0,,,,,,,,,
33,1179.0,16,1019,503,63.279652403506496,31.236177781122443,0.012369573504661485,0.0,11.245066822419282,0.0,15,35,526,2.173491495704345,32.6644721925853,-0.9050438495668766,0.3016812831889441,-17.04414029316151,5.681380097720226,,,,,,,,,
34,1211.2,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,34,526,2.1113917386842207,32.6644721925853,-1.1525067136419538,0.2828645504340657,-10.680647410990922,5.439702892962802,,,,,,,,,
35,1250.7,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,34,526,2.1113917386842207,32.6644721925853,-1.1457608234284409,0.0,-10.56950439821246,0.0,,,,,,,,,
36,1283.0,16,1020,503,63.341752160526624,31.236177781122443,0.3044657484583611,0.0,-5.627832688694288,0.0,15,32,527,1.9871922246439724,32.72657194960542,-0.9133972453750233,0.30446574845832625,16.883498066081756,-5.627832688693644,,,,,,,,,
37,1319.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,31,527,1.9250924676238483,32.72657194960542,-0.8648976356913408,0.2882992118970999,16.01662288317298,-5.338874294390739,,,,,,,,,
38,1359.1,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,31,526,1.9250924676238483,32.6644721925853,-0.8410996007170081,0.30517829432994614,16.1905601677961,5.630595836345877,,,,,,,,,
39,1391.2,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,32,527,1.9871922246439724,32.72657194960542,0.0,0.0,0.0,0.0,,,,,,,,,
40,1427.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,31,527,1.9250924676238483,32.72657194960542,0.3046261292451125,-0.3046261292450984,5.641224615650233,-5.64122461564997,,,,,,,,,
41,1463.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,31,527,1.9250924676238483,32.72657194960542,0.2949997967420498,0.3001326113720477,5.678533142291617,-5.727721591069615,,,,,,,,,
42,1495.1,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,32,527,1.9871922246439724,32.72657194960542,-0.2815424552035533,-0.28154245520354015,-5.419489031829714,-5.419489031829462,,,,,,,,,
43,1530.9,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,32,526,1.9871922246439724,32.6644721925853,-0.25832054454936315,-0.3047643658577318,-16.477541724302306,5.638563660642591,,,,,,,,,
44,1567.8,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,32,527,1.9871922246439724,32.72657194960542,-1.7049262207890845,-0.2863653960023889,-43.845060194412525,-5.464988473328035,,,,,,,,,
45,1603.2,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,31,526,1.9250924676238483,32.6644721925853,-4.330377783559744,-0.2867005129062627,-69.48958272314134,5.324057806987233,,,,,,,,,
46,1639.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,30,526,1.8629927106037243,32.6644721925853,-6.649916570176518,-0.30432777236226854,-101.77585375446107,-5.630486075157609,,,,,,,,,
47,1675.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,25,526,1.5524939255031034,32.6644721925853,-7.4453869402471735,-0.5880406584529433,-63.25308755667117,-0.16328134851066264,,,,,,,,,
48,1710.9,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,17,526,1.0556958693421103,32.6644721925853,-8.21849694263127,0.0,-2.7131871760513584,0.0,,,,,,,,,
49,1743.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,10,525,0.6209975702012414,32.60237243556517,-8.340780830966427,0.260886630817227,69.25923335465504,16.499993828609444,,,,,,,,,
50,1779.1,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,15,7,525,0.434698299140869,32.60237243556517,-6.878637552615527,0.2606707718215944,74.14164447562692,16.46897645464973,,,,,,,,,
51,1814.9,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,3,526,0.18629927106037242,32.6644721925853,-4.827386852200864,0.28050424988762296,67.9268427612515,5.394312497838904,,,,,,,,,
52,1850.9,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,2,527,0.12419951404024827,32.72657194960542,-2.3031888868927317,0.5757972217231883,42.65164605356911,-10.662911513392375,,,,,,,,,
53,1887.1,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,2,527,0.12419951404024827,32.72657194960542,-1.7244613404904152,0.5744648514373263,21.3060631563196,-10.657974980284328,,,,,,,,,
54,1923.3,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,1,527,0.06209975702012414,32.72657194960542,-0.2626238157916964,0.28173788591033566,16.293877467700042,-5.371551685611734,,,,,,,,,
55,1958.9,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,13,2,527,0.12419951404024827,32.72657194960542,0.2919439876172483,-0.2919439876172343,5.406370141060155,-5.406370141059894,,,,,,,,,
56,1994.9,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,1,527,0.06209975702012414,32.72657194960542,-0.006341994895758124,0.0,10.569991492931871,0.0,,,,,,,,,
57,2028.2,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,2,527,0.12419951404024827,32.72657194960542,0.29879007145846254,0.0,-5.5900855277542165,0.0,,,,,,,,,
58,2065.8,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,13,3,526,0.18629927106037242,32.6644721925853,-0.009387401157955444,0.009387401157955035,-11.044001362298763,11.04400136229823,,,,,,,,,
59,2103.9,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,2,527,0.12419951404024827,32.72657194960542,0.8960176743676661,-0.30954020440339186,5.987066658690591,-5.6796367780438874,,,,,,,,,
60,2135.1,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,2,527,0.12419951404024827,32.72657194960542,0.0,0.0,0.0,0.0,,,,,,,,,
61,2171.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,2,527,0.12419951404024827,32.72657194960542,0.006811175455555197,0.29345791000355403,11.351959092593638,-5.643421346222193,,,,,,,,,
62,2207.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,4,526,0.24839902808049655,32.6644721925853,0.03955232985160478,-0.019776164925801445,-22.601331343774234,11.300665671886575,,,,,,,,,
63,2243.1,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,2,527,0.12419951404024827,32.72657194960542,-0.2700037262404573,0.2700037262404444,-5.0000690044529135,5.000069004452674,,,,,,,,,
64,2275.0,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,13,3,527,0.18629927106037242,32.72657194960542,-0.2590333505693031,0.5633611229315566,-16.464353823840916,10.833867748683781,,,,,,,,,
65,2313.6,16,1020,503,63.341752160526624,31.236177781122443,0.0,0.0,0.0,0.0,14,2,527,0.12419951404024827,32.72657194960542,-0.8756550566648635,0.8828470235214683,5.430461052658492,5.634103342133506,,,,,,,,,
66,2355.7,16,1020,503,63.341752160526624,31.236177781122443,0.33280562919149287,0.33280562919151185,5.9112900389252765,5.911290038925615,14,1,528,0.06209975702012414,32.78867170662554,-0.2583076252604476,0.591113254451966,5.207815025412235,0.7034750135139675,,,,,,,,,
67,2383.1,16,1020,503,63.341752160526624,31.236177781122443,0.28803177384216727,0.28803177384218376,5.328987490141859,5.328987490142164,13,1,529,0.06209975702012414,32.85077146364567,-0.5739339245615691,0.5739339245615744,10.638256247665776,-10.638256247665874,,,,,,,,,
68,2418.9,16,1020,503,63.341752160526624,31.236177781122443,0.2838596488261518,0.28385964882616804,5.391446321484356,5.391446321484664,12,1,529,0.06209975702012414,32.85077146364567,-0.2986031808822242,0.8810660105906057,5.529688534856004,-5.667930748227755,,,,,,,,,
69,2454.9,16,1021,504,63.403851917546746,31.298277538142568,0.320546898840234,0.32054689884025234,-6.158441860523234,-6.1584418605235856,12,1,529,0.06209975702012414,32.85077146364567,,,,,,,,,,,,,
70,2491.0,16,1021,504,63.403851917546746,31.298277538142568,-0.021008803707534364,0.5862233372374436,-11.057265109228073,0.19819626139184487,11,1,529,0.06209975702012414,32.85077146364567,,,,,,,,,,,,,
71,2526.9,16,1021,504,63.403851917546746,31.298277538142568,-1.5430636285842232,0.8904537002159837,-39.223358866120925,5.84177685240081,9,1,530,0.06209975702012414,32.91287122066579,,,,,,,,,,,,,
72,2559.0,16,1021,504,63.403851917546746,31.298277538142568,-5.065658173194579,1.4071272703318294,-97.32292359643772,27.034145443454957,,,,,,,,,,,,,,,,,,
73,2595.1,16,1020,505,63.341752160526624,31.360377295162692,-10.153920891267463,2.274008177409243,-183.61923993515114,32.228025451803184,,,,,,,,,,,,,,,,,,
74,2630.9,16,1015,506,63.031253375426004,31.422477052182813,-17.01632532018317,2.2966571446314616,-258.3393659723205,21.20059707866608,,,,,,,,,,,,,,,,,,
75,2667.2,17,1003,509,62.286056291184515,31.608776323243188,-26.060849792636624,1.7223356501895475,-290.75825236367456,-21.20774285828457,,,,,,,,,,,,,,,,,,
76,2703.3,17,985,512,61.16826066482228,31.795075594303558,-38.53737965185197,1.0510601603487248,-341.028796304857,-54.83334924220089,11,3,526,0.18629927106037242,32.6644721925853,,,,,,,,,,,,,
77,2739.1,17,961,512,59.6778664963393,31.795075594303558,-48.3362444045562,0.4724327286194014,-320.58704963531505,-54.920087208279085,14,14,526,0.869396598281738,32.6644721925853,,,,,,,,,,,,,
78,2775.6,18,930,510,57.75277402871545,31.670876080263312,-55.786269098247196,-0.6322740692922653,-257.68121821954577,-22.23524089599238,14,42,525,2.608189794845214,32.60237243556517,,,,,,,,,,,,,
79,2807.1,18,891,509,55.33088350493061,31.608776323243188,-61.43006675837952,-1.7621215989870198,-100.06344081513525,0.6294617790842849,14,94,528,5.837377159891669,32.78867170662554,108.83815689942872,0.04439803748476515,1048.095826294342,-22.199018742379995,,,,,,,,,
80,2843.2,18,852,508,52.908992981145765,31.546676566223063,-65.62441941262604,-2.0629200881846694,-11.558483660935728,6.210138758633113,15,182,533,11.302155777662593,33.09917049172617,134.47013677507363,-0.422681421216841,658.0501197131448,-88.34692775633114,,,,,,,,,
81,2879.7,18,814,507,50.54920221438105,31.484576809202938,-64.84243617236882,-2.038950608739869,83.69145694919722,-4.790244972357377,17,281,528,17.450031722654884,32.78867170662554,152.10305211900757,-0.7792347668787878,183.09554154386885,-49.35356627872092,,,,,,,,,
82,2914.9,18,775,506,48.12731169059621,31.422477052182813,-25.73984382538059,-5.735109539228358,762.2197104440567,-74.33981317502734,17,381,526,23.6600074246673,32.6644721925853,125.78374968566216,1.4279209061564648,-733.7063497408467,47.867346547049706,,,,,,,,,
83,2951.0,18,737,505,45.76752092383149,31.360377295162692,12.51554632109906,-9.769102832969805,1461.2795547875587,-149.1819893112328,19,477,524,29.621584098599214,32.54027267854505,91.08014844974015,2.862723181580528,-1463.059179552354,149.30063096221912,,,,,,,,,
84,2987.8,21,709,503,44.02872772726801,31.236177781122443,52.27862806788046,-13.650900969096998,2083.210749160865,-210.04694948383303,16,563,522,34.96216320232989,32.4160731645048,52.15728096582612,7.591171922231466,-2032.2309930365814,204.21770483765204,,,,,,,,,
85,3023.1,22,802,489,49.80400513013956,30.366781182840704,92.91246258434128,-18.4483588227575,1430.983735206998,-160.6555525094304,16,531,533,32.97497097768592,33.09917049172617,12.482143940041732,11.989584471935691,-1360.5932019342106,147.35748831023758,,,,,,,,,
86,3059.0,21,896,474,55.64138229003123,29.435284827538844,,,,,16,498,543,30.925678996021823,33.72016806192741,-23.25773045448911,15.235868185573356,-654.3089483037436,79.83168392653697,,,,,,,,,
87,3095.0,21,992,460,61.60295896396315,28.565888229257105,,,,,17,465,554,28.876387014357725,34.40326538914877,-57.29691628623329,19.11009088194032,-9.82492584512712,10.687499634528367,,,,,,,,,
88,3127.3,18,1083,444,67.25403685279444,27.572292116935117,,,,,17,433,566,26.889194789713752,35.14846247339026,-57.754965088108946,19.352623475764158,12.472107343989975,-6.03236347667813,,,,,,,,,
89,3164.4,,,,,,,,,,17,400,576,24.839902808049654,35.76946004359151,-57.67944393197109,19.614498207267204,1.145504708260718,3.254274739380348,,,,,,,,,
90,3199.2,,,,,,,,,,17,368,587,22.852710583405685,36.45255737081287,-57.76192652352626,19.929045659800074,0.8995853980447667,5.031402051839333,,,,,,,,,
91,3235.0,,,,,,,,,,17,334,599,20.741318844721462,37.19775445505436,-57.60548401362646,19.585159178879437,-9.696228523516561,10.350575233693602,,,,,,,,,
92,3271.1,,,,,,,,,,17,301,610,18.692026863057364,37.88085178227573,-57.87203675154152,20.251005609935778,-4.755491954191929,8.67651069020867,,,,,,,,,
93,3306.8,,,,,,,,,,17,268,622,16.64273488139327,38.626048866517216,-59.154942680576085,21.09558275175529,-26.792079023505853,16.651443523536418,,,,,,,,,
94,3342.9,,,,,,,,,,17,233,634,14.469243385688925,39.371245950758706,-59.39124975377063,21.080281398629907,-23.40415590918369,17.36253356612969,,,,,,,,,
95,3379.0,,,,,,,,,,17,200,646,12.419951404024827,40.116443035000195,-59.603765952323435,22.05099572597109,-27.343288412479367,24.687532239083506,,,,,,,,,
96,3411.4,,,,,,,,,,17,166,659,10.308559665340606,40.923739876261806,-59.77722131901874,22.254467299779225,14.893825898407226,5.506960836385872,,,,,,,,,
97,3447.4,,,,,,,,,,17,131,671,8.135068169636263,41.668936960503295,-59.23667271788697,22.26498184664303,26.362568079205925,5.311159218810359,,,,,,,,,
98,3482.8,,,,,,,,,,17,98,685,6.085776187972166,42.538333558785034,-58.37889370275768,22.577200832363758,50.943909791395534,-14.548705526315244,,,,,,,,,
99,3518.8,,,,,,,,,,17,64,698,3.9743844492879448,43.34563040004665,,,,,,,,,,,,,
100,3554.8,,,,,,,,,,16,31,710,1.9250924676238483,44.09082748428814,,,,,,,,,,,,,
101,3591.1,,,,,,,,,,14,1,723,0.06209975702012414,44.89812432554975,,,,,,,,,,,,,
