frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,134.1,,,,,,,,,,,,,,,,,,,54,53,258,,,,,,
1,134.1,,,,,,,,,,,,,,,,,,,36,439,429,,,,,,
2,239.7,,,,,,,,,,,,,,,,,,,9,445,433,,,,,,
41,1462.1,,,,,,,,,,20,998,1008,61.975557506083895,62.596555076285135,,,,,,,,,,,,,
42,1497.9,,,,,,,,,,21,927,957,57.56647475765508,59.4294674682588,,,,,,,,,,,,,
43,1534.7,,,,,,,,,,21,854,904,53.033192495186015,56.13818034619222,,,,,,,,,,,,,
44,1570.2,,,,,,,,,,21,782,851,48.56200998973708,52.846893224125644,-127.2518020809566,-93.57399273591307,-58.597247144925774,-62.58753502687902,,,,,,,,,
45,1606.0,,,,,,,,,,22,710,796,44.09082748428814,49.43140658801882,-127.33827118816615,-93.94817845475238,-49.5686304906306,-26.996829556820924,,,,,,,,,
46,1642.1,,,,,,,,,,22,636,743,39.495445464798955,46.14011946595224,-127.5366371643373,-94.03126485781294,-27.688101193738873,-17.494419561241667,,,,,,,,,
47,1674.1,,,,,,,,,,22,564,689,35.02426295935002,42.78673258686553,-127.41696695641807,-93.4098450055707,55.41794251621621,65.74726034627007,,,,,,,,,
48,1710.2,,,,,,,,,,21,492,636,30.553080453901078,39.495445464798955,-127.617160516042,-92.73662269397299,44.21566834330123,50.25125874644454,,,,,,,,,
49,1746.1,,,,,,,,,,21,420,584,26.081897948452138,36.2662580997525,-127.81829540278711,-92.69181502240963,22.271596608164963,43.25307024207469,,,,,,,,,
50,1781.9,,,,,,,,,,22,348,533,21.6107154430032,33.09917049172617,-126.3716767811209,-90.4749802625219,-36.02480382795732,-11.297079584697094,,,,,,,,,
51,1817.8,,,,,,,,,,22,275,480,17.07743318053414,29.80788336965959,-130.03929629232948,-93.34215663804487,-89.23677942671151,-61.50653651729721,,,,,,,,,
52,1854.0,,,,,,,,,,23,200,427,12.419951404024827,26.516596247593007,,,,,,,,,,,,,
53,1890.3,,,,,,,,,,22,124,374,7.700369870495393,23.22530912552643,,,,,,,,,,,,,
54,1922.0,,,,,,,,,,22,49,318,3.042888093986083,19.747722732399478,,,,,,,,,,,,,
83,2950.3,10,44,839,2.732389308885462,52.101696139884154,,,,,8,619,7,38.439749595456846,0.434698299140869,,,,,,,,,,,,,
84,2982.3,,,,,,,,,,14,659,19,40.923739876261806,1.1798953833823587,,,,,,,,,,,,,
85,3021.8,,,,,,,,,,13,691,39,42.91093210090578,2.4218905237848416,,,,,,,,,,,,,
86,3054.1,17,349,595,21.672815200023326,36.94935542697387,174.97521818882058,-139.75505117618374,-144.41553215542334,119.87006300512259,16,733,65,45.51912189575099,4.036484206308069,61.80782572568033,33.46034854789167,-123.20268895061815,-23.871630988906,,,,,,,,,
87,3090.2,23,446,516,27.696491630975366,32.04347462238405,,,,,13,775,91,48.12731169059621,5.6510778888312965,60.628880503833024,36.210726735053115,-113.67330440533281,-96.8949024706608,,,,,,,,,
88,3126.1,24,545,442,33.84436757596766,27.44809260289487,,,,,15,808,109,50.176603672260306,6.7688735151935315,75.5111495707116,23.186326358386918,112.17390076576392,-354.5803052131226,,,,,,,,,
89,3162.2,25,640,363,39.74384449287945,22.54221179830506,135.87214722105563,-97.92763675400364,-579.0455403286654,653.9951436957128,13,829,121,51.480698569682914,7.514070599435021,96.5143511151075,-3.129013191781199,765.3215675709176,-653.0823327423226,,,,,,,,,
90,3198.5,25,739,285,45.89172043787174,17.69843075073538,112.46993021845144,-72.11187675223924,-1025.6273806367085,1114.3983138014135,16,870,145,54.026788607508,9.004464767918,,,,,,,,,,,,,
91,3234.2,17,797,251,49.49350634503894,15.587039012051159,89.85182337583484,-48.627415109804936,-1015.9771996743947,1130.3526332769648,20,950,116,58.99476916911793,7.2035718143344,,,,,,,,,,,,,
92,3266.1,17,817,256,50.735501485441425,15.897537797151779,71.40283780979628,-28.12138030069198,-661.9421288004831,689.7249035287643,19,1057,59,65.63944317027122,3.6638856641873243,,,,,,,,,,,,,
93,3302.1,17,838,261,52.039596382864026,16.2080365822524,47.7639162202307,-2.5366636340874695,-223.52346874979364,228.75251859533986,,,,,,,,,,,,,,,,,,
94,3338.2,17,859,268,53.343691280286635,16.64273488139327,36.00472051817342,9.388166033402753,-19.544009126786506,-14.668380522970628,,,,,,,,,,,,,,,,,,
95,3375.6,17,879,273,54.58568642068912,16.95323366649389,36.382301004885235,9.663316697255265,22.297620948226424,0.40654848853694725,,,,,,,,,,,,,,,,,,
96,3409.9,17,900,278,55.88978131811172,17.26373245159451,35.883990167673815,9.839158594362168,3.1166774222081437,0.8545728415731985,,,,,,,,,,,,,,,,,,
97,3446.6,17,920,283,57.13177645851421,17.57423123669513,36.405646593611806,9.722064131848036,26.941169190225352,20.828862044101363,,,,,,,,,,,,,,,,,,
98,3478.2,17,941,289,58.43587135593682,17.946829778815875,36.596444941757376,10.00371414463759,-18.123275200231365,6.22887933567989,,,,,,,,,,,,,,,,,,
99,3516.7,17,962,295,59.73996625335942,18.31942832093662,36.20425768809332,9.926973882219144,2.8808416867714577,0.7899082044376567,,,,,,,,,,,,,,,,,,
100,3550.1,17,983,301,61.04406115078203,18.692026863057364,36.71650590580626,10.570600665649273,-20.934225959414754,-4.432020811227273,,,,,,,,,,,,,,,,,,
101,3586.3,17,1003,307,62.286056291184515,19.06462540517811,36.58033509205073,10.22909880260553,17.82522062656558,-2.058950418604209,,,,,,,,,,,,,,,,,,
102,3622.6,17,1024,312,63.590151188607116,19.375124190278733,37.1054402982194,10.698503130256475,14.138659920897535,13.780993552641247,,,,,,,,,,,,,,,,,,
103,3658.3,17,1045,319,64.89424608602972,19.809822489419602,33.59110819745338,10.548937871574143,-36.83652650551813,4.0315994789698015,,,,,,,,,,,,,,,,,,
